Unnamed: 0,Player,height,weight,collage,born,birth_city,birth_state,height_m,bmi
1008,Gary Melchionni,188.0,83.0,Duke University,1951.0,Camden,New Jersey,1.88,23.48347668628339
1009,Louie Nelson,190.0,86.0,University of Washington,1951.0,Los Angeles,California,1.9,23.822714681440445
1010,Jim Owens,196.0,90.0,Arizona State University,1950.0,Los Angeles,California,1.96,23.427738442315704
1011,Ed Ratleff,198.0,88.0,"California State University, Long Beach",1950.0,Bellefontaine,Ohio,1.98,22.44668911335578
1012,Joe Reaves,196.0,95.0,Bethel College,1950.0,,,1.96,24.729279466888798
1013,Mark Sibley,188.0,79.0,Northwestern University,1950.0,,,1.88,22.351742870076958
1014,Bob Verga,185.0,86.0,Duke University,1945.0,Neptune,New Jersey,1.85,25.127830533235937
1015,Kermit Washington,203.0,104.0,American University,1951.0,Washington,District of Columbia,2.03,25.237205464825653
1016,Slick Watts,185.0,79.0,Xavier University of Louisiana,1951.0,Rolling Ford,Mississippi,1.85,23.08254200146092
1017,Nick Weatherspoon,201.0,88.0,University of Illinois at Urbana-Champaign,1950.0,Greenwood,Mississippi,2.01,21.7816390683399
1018,Luke Witte,213.0,106.0,Ohio State University,1950.0,Philadelphia,Pennsylvania,2.13,23.363970993409602
1019,Dan Anderson,208.0,104.0,Augsburg College,1943.0,Minneapolis,Minnesota,2.08,24.038461538461537
1020,Jim Ard,203.0,97.0,University of Cincinnati,1948.0,Harvey,Illinois,2.03,23.538547404693155
1021,Gus Bailey,196.0,83.0,University of Texas at El Paso,1951.0,Gibson,North Carolina,1.96,21.605581007913372
1022,Leon Benbow,193.0,83.0,Jacksonville University,1950.0,Columbia,South Carolina,1.93,22.28247738194314
1023,Ken Boyd,196.0,88.0,Boston University,1952.0,Frederick,Maryland,1.96,22.907122032486466
1024,Gary Brokaw,193.0,80.0,University of Notre Dame,1954.0,New Brunswick,New Jersey,1.93,21.47708663319821
1025,Tom Burleson,218.0,102.0,North Carolina State University,1952.0,Crossnore,North Carolina,2.18,21.46283982829728
1026,Harvey Catchings,206.0,98.0,Hardin-Simmons University,1951.0,Jackson,Mississippi,2.06,23.093599773776983
1027,Jim Chones,211.0,99.0,Marquette University,1949.0,Racine,Wisconsin,2.11,22.23669728891984
1028,Ben Clyde,201.0,89.0,Florida State University,1951.0,Albany,Georgia,2.01,22.02915769411649
1029,Jesse Dark,196.0,95.0,Virginia Commonwealth University,1951.0,Richmond,Virginia,1.96,24.729279466888798
1030,Rod Derline,183.0,79.0,Seattle University,1952.0,Elma,Washington,1.83,23.589835468362743
1031,John Drew,198.0,92.0,Gardner-Webb University,1954.0,Vredenburgh,Alabama,1.98,23.46699316396286
1032,Dennis DuVal,190.0,79.0,Syracuse University,1952.0,Westbury,New York,1.9,21.883656509695292
1033,Al Eberhard,198.0,102.0,University of Missouri,1952.0,Cedar Rapids,Iowa,1.98,26.017753290480563
1034,Leonard Gray,203.0,108.0,"California State University, Long Beach",1951.0,Kansas City,Kansas,2.03,26.20786721347279
1035,Bernie Harris,208.0,90.0,Virginia Commonwealth University,1950.0,Roanoke,Virginia,2.08,20.802514792899405
1036,Steve Hawes,206.0,99.0,University of Washington,1950.0,Seattle,Washington,2.06,23.329248751060423
1037,Tom Henderson,190.0,86.0,University of Hawaii,1952.0,Newberry,South Carolina,1.9,23.822714681440445
