Unnamed: 0,Player,height,weight,collage,born,birth_city,birth_state,height_m,bmi
0,Curly Armstrong,180.0,77.0,Indiana University,1918.0,,,1.8,23.76543209876543
1,Cliff Barker,188.0,83.0,University of Kentucky,1921.0,Yorktown,Indiana,1.88,23.48347668628339
2,Leo Barnhorst,193.0,86.0,University of Notre Dame,1924.0,,,1.93,23.087868130688072
3,Ed Bartels,196.0,88.0,North Carolina State University,1925.0,,,1.96,22.907122032486466
4,Ralph Beard,178.0,79.0,University of Kentucky,1927.0,Hardinsburg,Kentucky,1.78,24.933720489837143
5,Gene Berce,180.0,79.0,Marquette University,1926.0,,,1.8,24.382716049382715
6,Charlie Black,196.0,90.0,University of Kansas,1921.0,Arco,Idaho,1.96,23.427738442315704
7,Nelson Bobb,183.0,77.0,Temple University,1924.0,Philadelphia,Pennsylvania,1.83,22.99262444384723
8,Jake Bornheimer,196.0,90.0,Muhlenberg College,1927.0,New Brunswick,New Jersey,1.96,23.427738442315704
9,Vince Boryla,196.0,95.0,University of Denver,1927.0,East Chicago,Indiana,1.96,24.729279466888798
10,Don Boven,193.0,95.0,Western Michigan University,1925.0,Kalamazoo,Michigan,1.93,25.50404037692287
11,Harry Boykoff,208.0,102.0,St. John's University,1922.0,Brooklyn,New York,2.08,23.57618343195266
12,Joe Bradley,190.0,79.0,Oklahoma State University,1928.0,Washington,Oklahoma,1.9,21.883656509695292
13,Bob Brannum,196.0,97.0,Michigan State University,1925.0,,,1.96,25.249895876718035
14,Carl Braun,196.0,81.0,Colgate University,1927.0,Brooklyn,New York,1.96,21.084964598084134
15,Frankie Brian,185.0,81.0,Louisiana State University,1923.0,Zachary,Louisiana,1.85,23.66691015339664
16,Price Brookfield,193.0,83.0,West Texas A&M University,1920.0,Floydada,Texas,1.93,22.28247738194314
17,Bob Brown,193.0,92.0,Miami University,1923.0,Versailles,Ohio,1.93,24.69864962817794
18,Jim Browne,208.0,106.0,,1930.0,Midlothian,Illinois,2.08,24.500739644970412
19,Walt Budko,196.0,99.0,Columbia University,1925.0,Kearney,New Jersey,1.96,25.770512286547273
20,Jack Burmaster,190.0,86.0,University of Illinois at Urbana-Champaign,1926.0,,,1.9,23.822714681440445
21,Tommy Byrnes,190.0,79.0,Seton Hall University,1923.0,Teaneck,New Jersey,1.9,21.883656509695292
22,Bill Calhoun,190.0,81.0,City College of San Francisco,1927.0,San Francisco,California,1.9,22.437673130193907
23,Don Carlson,183.0,77.0,University of Minnesota,1919.0,Minneapolis,Minnesota,1.83,22.99262444384723
24,Bob Carpenter,196.0,90.0,East Texas State University,1917.0,,,1.96,23.427738442315704
25,Jake Carter,193.0,88.0,East Texas State University,1924.0,,,1.93,23.624795296518027
26,Al Cervi*,180.0,77.0,,1917.0,Buffalo,New York,1.8,23.76543209876543
27,John Chaney,190.0,83.0,Louisiana State University,1920.0,,,1.9,22.991689750692522
28,Leroy Chollet,188.0,86.0,Canisius College,1925.0,New Orleans,Louisiana,1.88,24.332277048438208
29,Bill Closs,196.0,88.0,Rice University,1922.0,Edge,Texas,1.96,22.907122032486466
30,Paul Cloyd,188.0,81.0,University of Wisconsin,1920.0,,,1.88,22.917609778180175
31,Jack Coleman,201.0,88.0,University of Louisville,1924.0,Burgin,Kentucky,2.01,21.7816390683399
32,Bobby Cook,178.0,70.0,University of Wisconsin,1923.0,,,1.78,22.093170054286073
33,Ray Corley,183.0,81.0,Georgetown University,1928.0,,,1.83,24.187046492878256
34,Jack Cotton,201.0,90.0,University of Wyoming,1924.0,Miles City,Montana,2.01,22.276676319893078
35,Dillard Crocker,193.0,92.0,Western Michigan University,1925.0,Coffee County,Tennessee,1.93,24.69864962817794
36,Chink Crossin,185.0,74.0,University of Pennsylvania,1923.0,Luzerne,Pennsylvania,1.85,21.62162162162162
37,Fran Curran,183.0,79.0,University of Notre Dame,1922.0,Sterling,Illinois,1.83,23.589835468362743
38,Jimmy Darden,185.0,77.0,University of Denver,1922.0,,,1.85,22.498173849525198
39,Bob Davies*,185.0,79.0,Seton Hall University,1920.0,Harrisburg,Pennsylvania,1.85,23.08254200146092
40,Hook Dillon,190.0,81.0,University of North Carolina,1924.0,Savannah,Georgia,1.9,22.437673130193907
41,Earl Dodd,196.0,79.0,Truman State University,1924.0,,,1.96,20.564348188254897
42,Joe Dolhon,183.0,79.0,New York University,1927.0,,,1.83,23.589835468362743
43,Bob Doll,196.0,88.0,University of Colorado,1919.0,Steamboat Springs,Colorado,1.96,22.907122032486466
44,Harry Donovan,188.0,81.0,Muhlenberg College,1926.0,Union City,New Jersey,1.88,22.917609778180175
45,Andy Duncan,198.0,88.0,College of William & Mary,1922.0,,,1.98,22.44668911335578
46,Dike Eddleman,190.0,85.0,University of Illinois at Urbana-Champaign,1922.0,Centralia,Illinois,1.9,23.545706371191137
47,Gene Englund,196.0,92.0,University of Wisconsin,1917.0,Kenosha,Wisconsin,1.96,23.94835485214494
48,Bob Evans,188.0,79.0,Butler University,1925.0,Indianapolis,Indiana,1.88,22.351742870076958
49,Johnny Ezersky,190.0,79.0,University of Rhode Island,1922.0,New York,New York,1.9,21.883656509695292
50,Bob Feerick,190.0,86.0,Santa Clara University,1920.0,San Francisco,California,1.9,23.822714681440445
51,George Feigenbaum,185.0,83.0,University of Kentucky,1929.0,,,1.85,24.251278305332356
52,Arnie Ferrin,188.0,81.0,University of Utah,1925.0,Salt Lake City,Utah,1.88,22.917609778180175
53,Jerry Fleishman,188.0,86.0,New York University,1922.0,Brooklyn,New York,1.88,24.332277048438208
54,Joe Fulks*,196.0,86.0,Murray State University,1921.0,Birmingham,Kentucky,1.96,22.38650562265723
55,Bill Gabor,180.0,77.0,Syracuse University,1922.0,,,1.8,23.76543209876543
56,Elmer Gainer,198.0,88.0,DePaul University,1918.0,Chicago,Illinois,1.98,22.44668911335578
57,Harry Gallatin*,198.0,95.0,Truman State University,1927.0,Roxana,Illinois,1.98,24.232221201918172
58,Vern Gardner,196.0,90.0,University of Utah,1925.0,Afton,Wyoming,1.96,23.427738442315704
59,Frank Gates,183.0,72.0,Sam Houston State University,1920.0,,,1.83,21.49959688255845
60,Dee Gibson,180.0,79.0,Western Kentucky University,1923.0,,,1.8,24.382716049382715
61,Hoot Gibson,196.0,89.0,Creighton University,1921.0,,,1.96,23.167430237401085
62,Chuck Gilmur,193.0,102.0,University of Washington,1922.0,,,1.93,27.383285457327716
63,Normie Glick,201.0,86.0,Loyola Marymount University,1927.0,,,2.01,21.286601816786717
64,Paul Gordon,190.0,83.0,University of Notre Dame,1927.0,,,1.9,22.991689750692522
65,Joe Graboski,201.0,88.0,,1930.0,,,2.01,21.7816390683399
66,Bud Grant,190.0,88.0,University of Minnesota,1927.0,Superior,Wisconsin,1.9,24.37673130193906
67,Don Grate,188.0,83.0,Ohio State University,1923.0,Greenfield,Ohio,1.88,23.48347668628339
68,Alex Groza,201.0,98.0,University of Kentucky,1926.0,Martins Ferry,Ohio,2.01,24.256825326105798
69,Al Guokas,196.0,90.0,Saint Joseph's University,1925.0,,,1.96,23.427738442315704
70,Robert Hahn,208.0,108.0,North Carolina State University,1925.0,,,2.08,24.96301775147929
71,Chick Halbert,206.0,102.0,West Texas A&M University,1919.0,Albany,Texas,2.06,24.036195682910737
72,Bruce Hale,185.0,77.0,Santa Clara University,1918.0,Medford,Oregon,1.85,22.498173849525198
73,Dale Hamilton,183.0,81.0,Franklin College,1919.0,,,1.83,24.187046492878256
74,Alex Hannum*,201.0,95.0,University of Southern California,1923.0,Los Angeles,California,2.01,23.514269448776027
75,John Hargis,188.0,81.0,University of Texas at Austin,1920.0,Nacogdoches,Texas,1.88,22.917609778180175
76,Bob Harris,201.0,88.0,Oklahoma State University,1927.0,Linden,Tennessee,2.01,21.7816390683399
77,Bob Harrison,201.0,88.0,Oklahoma State University,1927.0,Linden,Tennessee,2.01,21.7816390683399
78,Billy Hassett,180.0,81.0,University of Notre Dame,1921.0,,,1.8,25.0
79,Marshall Hawkins,190.0,92.0,University of Tennessee,1924.0,Huntington,West Virginia,1.9,25.48476454293629
80,Bill Henry,206.0,97.0,Rice University,1924.0,Dallas,Texas,2.06,22.857950796493544
81,Bill Herman,190.0,77.0,Mount Union College,1924.0,,,1.9,21.329639889196677
82,Kleggie Hermsen,206.0,102.0,University of Minnesota,1923.0,Hill City,Minnesota,2.06,24.036195682910737
83,Sonny Hertzberg,178.0,79.0,City College of New York,1922.0,Brooklyn,New York,1.78,24.933720489837143
84,Paul Hoffman,188.0,88.0,Purdue University,1925.0,,,1.88,24.898143956541425
85,Joe Holland,193.0,83.0,University of Kentucky,1925.0,,,1.93,22.28247738194314
86,Red Holzman*,178.0,79.0,City College of New York,1920.0,Brooklyn,New York,1.78,24.933720489837143
87,Gene James,193.0,81.0,Marshall University,1925.0,Ironton,Ohio,1.93,21.745550216113184
88,Howie Janotta,190.0,83.0,Seton Hall University,1924.0,,,1.9,22.991689750692522
89,Tony Jaros,190.0,83.0,University of Minnesota,1920.0,Minneapolis,Minnesota,1.9,22.991689750692522
90,Buddy Jeannette*,180.0,79.0,Washington & Jefferson College,1917.0,New Kensington,Pennsylvania,1.8,24.382716049382715
91,Arnie Johnson,196.0,107.0,Bemidji State University,1920.0,Gonvick,Minnesota,1.96,27.852977925864227
92,Ralph Johnson,180.0,77.0,Huntington University,1921.0,,,1.8,23.76543209876543
93,Wah Wah,180.0,77.0,,1921.0,,,1.8,23.76543209876543
94,Noble Jorgensen,206.0,103.0,University of Iowa,1925.0,,,2.06,24.271844660194176
95,George Kaftan,190.0,86.0,College of the Holy Cross,1928.0,New York,New York,1.9,23.822714681440445
96,Leo Katkaveck,183.0,83.0,North Carolina State University,1923.0,,,1.83,24.78425751739377
97,Jack Kerris,198.0,97.0,Loyola University of Chicago,1925.0,,,1.98,24.742373227221712
98,Bob Kinney,198.0,97.0,Rice University,1920.0,Fort Scott,Kansas,1.98,24.742373227221712
99,Walt Kirk,190.0,78.0,University of Illinois at Urbana-Champaign,1924.0,Mount Vernon,Illinois,1.9,21.606648199445985
100,Leo Klier,188.0,77.0,University of Notre Dame,1923.0,Washington,Indiana,1.88,21.785875961973744
101,Duane Klueh,190.0,79.0,Indiana State University,1926.0,Bottineau,North Dakota,1.9,21.883656509695292
102,Lee Knorek,201.0,97.0,University of Detroit Mercy,1921.0,Warsaw,Poland,2.01,24.009306700329205
103,Milo Komenich,201.0,96.0,University of Wyoming,1920.0,,,2.01,23.761788074552616
104,Leo Kubiak,180.0,72.0,Bowling Green State University,1927.0,,,1.8,22.22222222222222
105,Frank Kudelka,188.0,87.0,Saint Mary's College of California,1925.0,,,1.88,24.615210502489816
106,Walt Lautenbach,188.0,83.0,University of Wisconsin,1922.0,,,1.88,23.48347668628339
107,Tony Lavelli,190.0,83.0,Yale University,1926.0,Somerville,Massachusetts,1.9,22.991689750692522
108,Ed Leede,190.0,83.0,Dartmouth College,1927.0,,,1.9,22.991689750692522
109,Andrew Levane,188.0,86.0,St. John's University,1920.0,Brooklyn,New York,1.88,24.332277048438208
110,Freddie Lewis,188.0,88.0,Eastern Kentucky University,1921.0,Brooklyn,New York,1.88,24.898143956541425
111,Ron Livingstone,208.0,99.0,University of Wyoming,1925.0,,,2.08,22.882766272189347
112,John Logan,188.0,79.0,Indiana University,1921.0,Richmond,Indiana,1.88,22.351742870076958
113,Ray Lumpp,185.0,80.0,New York University,1923.0,Brooklyn,New York,1.85,23.37472607742878
114,Ed Macauley*,203.0,83.0,Saint Louis University,1928.0,St. Louis,Missouri,2.03,20.141231284428166
115,Johnny Macknowski,183.0,81.0,Seton Hall University,1923.0,,,1.83,24.187046492878256
116,John Mahnken,203.0,99.0,Georgetown University,1922.0,New Jersey,New Jersey,2.03,24.023878279016728
117,John Mandic,193.0,92.0,Oregon State University,1919.0,Los Angeles,California,1.93,24.69864962817794
118,Slater Martin*,178.0,77.0,University of Texas at Austin,1925.0,El Mina,Texas,1.78,24.302487059714682
119,Ariel Maughan,193.0,86.0,Utah State University,1923.0,Salt Lake City,Utah,1.93,23.087868130688072
120,Matt Mazza,190.0,95.0,Michigan State University,1923.0,Niagara Falls,New York,1.9,26.315789473684212
121,Mike McCarron,180.0,81.0,Seton Hall University,1922.0,,,1.8,25.0
122,Dick McGuire*,183.0,81.0,St. John's University,1926.0,Huntington,New York,1.83,24.187046492878256
123,Bones McKinney,198.0,83.0,University of North Carolina,1919.0,Lowlands,North Carolina,1.98,21.17130905009693
124,Mal McMullen,196.0,95.0,Xavier University,1927.0,,,1.96,24.729279466888798
125,Dick Mehen,196.0,88.0,University of Tennessee,1922.0,,,1.96,22.907122032486466
126,Ken Menke,183.0,76.0,University of Illinois at Urbana-Champaign,1922.0,,,1.83,22.694018931589476
127,Stan Miasek,196.0,95.0,,1924.0,,,1.96,24.729279466888798
128,Ed Mikan,203.0,104.0,DePaul University,1925.0,,,2.03,25.237205464825653
129,George Mikan*,208.0,111.0,DePaul University,1924.0,Joliet,Illinois,2.08,25.656434911242602
130,Vern Mikkelsen*,201.0,104.0,Hamline University,1928.0,Fresno,California,2.01,25.741937080765336
131,Al Miksis,201.0,95.0,Western Illinois University,1928.0,,,2.01,23.514269448776027
132,Murray Mitchell,201.0,95.0,Sam Houston State University,1923.0,,,2.01,23.514269448776027
133,Leo Mogus,193.0,86.0,Youngstown State University,1921.0,Ohio,,1.93,23.087868130688072
134,Max Morris,188.0,88.0,Northwestern University,1925.0,,,1.88,24.898143956541425
135,Joe Mullaney,183.0,74.0,College of the Holy Cross,1925.0,Long Island,New York,1.83,22.096807907073963
136,Jerry Nagel,183.0,86.0,Loyola University of Chicago,1928.0,Chicago,Illinois,1.83,25.680074054167036
137,Jack Nichols,201.0,100.0,University of Washington,1926.0,,,2.01,24.751862577658976
138,Richie Niemiera,185.0,74.0,University of Notre Dame,1921.0,Chicago,Illinois,1.85,21.62162162162162
139,Paul Noel,193.0,83.0,University of Kentucky,1924.0,Midway,Kentucky,1.93,22.28247738194314
140,Jim Nolan,203.0,95.0,Georgia Institute of Technology,1927.0,Macon,Georgia,2.03,23.053216530369586
141,Johnny Norlander,190.0,81.0,Hamline University,1921.0,Virginia,Minnesota,1.9,22.437673130193907
142,George Nostrand,203.0,88.0,University of Wyoming,1924.0,Uniondale,New York,2.03,21.35455847023709
143,Mike Novak,206.0,99.0,Loyola University of Chicago,1915.0,Chicago,Illinois,2.06,23.329248751060423
144,Dermie O'Connell,183.0,78.0,College of the Holy Cross,1928.0,,,1.83,23.291229956104985
145,Andy O'Donnell,185.0,81.0,Loyola College in Maryland,1925.0,,,1.85,23.66691015339664
146,Dick O'Keefe,188.0,83.0,Santa Clara University,1923.0,San Francisco,California,1.88,23.48347668628339
147,John Oldham,190.0,79.0,Western Kentucky University,1923.0,Beaver Dam,Kentucky,1.9,21.883656509695292
148,Gene Ollrich,180.0,72.0,Drake University,1922.0,Whiting,Indiana,1.8,22.22222222222222
149,Johnny Orr,190.0,88.0,Beloit College,1927.0,Yale,Kansas,1.9,24.37673130193906
150,Don Otten,208.0,108.0,Bowling Green State University,1921.0,Bellefontaine,Ohio,2.08,24.96301775147929
151,Mac Otten,201.0,99.0,Bowling Green State University,1925.0,Bellefontaine,Ohio,2.01,24.504343951882387
152,Red Owens,190.0,83.0,Baylor University,1925.0,,,1.9,22.991689750692522
153,Easy Parham,190.0,90.0,Texas Wesleyan University,1921.0,Fort Worth,Texas,1.9,24.930747922437675
154,Jack Parkinson,183.0,78.0,University of Kentucky,1924.0,Yorktown,Indiana,1.83,23.291229956104985
155,Charlie Parsley,188.0,79.0,Western Kentucky University,1925.0,,,1.88,22.351742870076958
156,Stan Patrick,188.0,83.0,University of Illinois at Urbana-Champaign,1922.0,,,1.88,23.48347668628339
157,Johnny Payak,193.0,78.0,Bowling Green State University,1926.0,,,1.93,20.940159467368254
158,Warren Perkins,190.0,86.0,Tulane University,1922.0,New Orleans,Louisiana,1.9,23.822714681440445
159,Ed Peterson,206.0,99.0,Cornell University,1924.0,,,2.06,23.329248751060423
160,Jack Phelan,196.0,88.0,DePaul University,1925.0,Chicago,Illinois,1.96,22.907122032486466
161,Andy Phillip*,188.0,88.0,University of Illinois at Urbana-Champaign,1922.0,Granite City,Illinois,1.88,24.898143956541425
162,Jim Pollard*,193.0,83.0,Stanford University,1922.0,Oakland,California,1.93,22.28247738194314
163,John Pritchard,206.0,99.0,Drake University,1927.0,,,2.06,23.329248751060423
164,Les Pugh,201.0,86.0,Ohio State University,1923.0,,,2.01,21.286601816786717
165,Don Putman,201.0,86.0,,1923.0,,,2.01,21.286601816786717
166,George Ratkovicz,198.0,99.0,,1922.0,Chicago,Illinois,1.98,25.252525252525253
167,Don Ray,196.0,86.0,Western Kentucky University,1921.0,Mt. Juliet,Tennessee,1.96,22.38650562265723
168,Chick Reiser,180.0,74.0,New York University,1914.0,,,1.8,22.839506172839506
169,Arnie Risen*,206.0,90.0,Ohio State University,1924.0,Williamstown,Kentucky,2.06,21.208407955509475
170,Tex Ritter,188.0,83.0,Eastern Kentucky University,1924.0,Richmond,Kentucky,1.88,23.48347668628339
171,Bill Roberts,206.0,95.0,University of Wyoming,1925.0,Fort Wayne,Indiana,2.06,22.38665284192667
172,Red Rocha,206.0,83.0,Oregon State University,1923.0,Hilo,Hawaii,2.06,19.558865114525403
173,Kenny Rollins,183.0,76.0,University of Kentucky,1923.0,Charlestown,Missouri,1.83,22.694018931589476
174,Bob Royer,178.0,70.0,Indiana State University,1927.0,,,1.78,22.093170054286073
175,Jerry Rullo,178.0,74.0,Temple University,1923.0,Philadelphia,Pennsylvania,1.78,23.355636914530994
176,Ed Sadowski,196.0,108.0,Seton Hall University,1917.0,Johnstown,Pennsylvania,1.96,28.113286130778846
177,Kenny Sailors,178.0,79.0,University of Wyoming,1921.0,Bushnell,Nebraska,1.78,24.933720489837143
178,Pep Saul,188.0,83.0,Seton Hall University,1924.0,,,1.88,23.48347668628339
179,Herm Schaefer,183.0,79.0,Indiana University,1918.0,Fort Wayne,Indiana,1.83,23.589835468362743
180,Marv Schatzman,196.0,90.0,Saint Louis University,1927.0,,,1.96,23.427738442315704
181,Fred Schaus,196.0,92.0,West Virginia University,1925.0,Newark,Ohio,1.96,23.94835485214494
182,Dolph Schayes*,203.0,99.0,New York University,1928.0,New York,New York,2.03,24.023878279016728
183,Milt Schoon,201.0,104.0,Valparaiso University,1922.0,,,2.01,25.741937080765336
184,Howie Schultz,198.0,90.0,Hamline University,1922.0,St. Paul,Minnesota,1.98,22.95684113865932
185,Dick Schulz,188.0,87.0,University of Wisconsin,1917.0,Racine,Wisconsin,1.88,24.615210502489816
186,Fred Scolari,178.0,81.0,University of San Francisco,1922.0,San Francisco,California,1.78,25.5649539199596
187,Wayne See,190.0,86.0,Northern Arizona University,1923.0,Clemenceau,Arizona,1.9,23.822714681440445
188,Glen Selbo,190.0,88.0,University of Wisconsin,1926.0,,,1.9,24.37673130193906
189,Rollie Seltz,178.0,74.0,Hamline University,1924.0,McIntosh,Minnesota,1.78,23.355636914530994
190,Jim Seminoff,188.0,86.0,University of Southern California,1922.0,Los Angelse,California,1.88,24.332277048438208
191,George Senesky,188.0,81.0,Saint Joseph's University,1922.0,Mahanoy City,Pennsylvania,1.88,22.917609778180175
192,Paul Seymour,185.0,81.0,University of Toledo,1928.0,Toledo,Ohio,1.85,23.66691015339664
193,Carl Shaeffer,190.0,83.0,University of Alabama,1924.0,Delphi,Indiana,1.9,22.991689750692522
194,Howie Shannon,188.0,79.0,Kansas State University,1923.0,Manhattan,Kansas,1.88,22.351742870076958
195,Charley Shipp,185.0,90.0,Catholic University of America,1913.0,,,1.85,26.296566837107374
196,Connie Simmons,203.0,100.0,,1925.0,Newark,New Jersey,2.03,24.26654371617851
197,Belus Smawley,185.0,88.0,Appalachian State University,1918.0,Golden Valley,North Carolina,1.85,25.712198685171657
198,Jack Smiley,190.0,86.0,University of Illinois at Urbana-Champaign,1922.0,Sandwich,Illinois,1.9,23.822714681440445
199,Chips Sobek,183.0,81.0,University of Notre Dame,1920.0,,,1.83,24.187046492878256
200,Odie Spears,196.0,92.0,Western Kentucky University,1925.0,,,1.96,23.94835485214494
201,Art Spector,193.0,90.0,Villanova University,1920.0,Philadelphia,Pennsylvania,1.93,24.161722462347985
202,Ed Stanczak,185.0,83.0,,1921.0,,,1.85,24.251278305332356
203,Gene Stump,188.0,83.0,DePaul University,1923.0,,,1.88,23.48347668628339
204,Mike Todorovich,196.0,99.0,University of Wyoming,1923.0,,,1.96,25.770512286547273
205,Jack Toomay,198.0,97.0,University of the Pacific,1922.0,Ontario,California,1.98,24.742373227221712
206,Bob Tough,183.0,83.0,St. John's University,1920.0,New York,New York,1.83,24.78425751739377
207,Blackie Towery,193.0,95.0,Western Kentucky University,1920.0,Caldwell,Kentucky,1.93,25.50404037692287
208,Dick Triptow,183.0,77.0,DePaul University,1922.0,Chicago,Illinois,1.83,22.99262444384723
209,Butch Van,183.0,77.0,,1922.0,,,1.83,22.99262444384723
210,Gene Vance,190.0,88.0,University of Illinois at Urbana-Champaign,1923.0,,,1.9,24.37673130193906
211,Ernie Vandeweghe,190.0,88.0,Colgate University,1928.0,Montreal,Canada,1.9,24.37673130193906
212,Floyd Volker,193.0,92.0,University of Wyoming,1921.0,Casper,Wyoming,1.93,24.69864962817794
213,Whitey Von,193.0,92.0,,1921.0,,,1.93,24.69864962817794
214,Clint Wager,198.0,95.0,Saint Mary's University of Minnesota,1920.0,Winona,Minnesota,1.98,24.232221201918172
215,Danny Wagner,183.0,77.0,University of Texas at Austin,1922.0,,,1.83,22.99262444384723
216,Brady Walker,198.0,92.0,Brigham Young University,1921.0,Provo,Utah,1.98,23.46699316396286
217,Paul Walther,188.0,72.0,University of Tennessee,1927.0,Covington,Kentucky,1.88,20.37120869171571
218,Bobby Wanzer*,183.0,77.0,Seton Hall University,1921.0,Brooklyn,New York,1.83,22.99262444384723
219,Murray Wier,175.0,70.0,University of Iowa,1926.0,Grand View,Iowa,1.75,22.857142857142858
220,D.C. Wilcutt,175.0,70.0,,1926.0,,,1.75,22.857142857142858
221,Bob Wood,175.0,70.0,Northern Illinois University,1921.0,,,1.75,22.857142857142858
222,Max Zaslofsky,188.0,77.0,St. John's University,1925.0,Brooklyn,New York,1.88,21.785875961973744
223,,,,,,,,,
224,Paul Arizin*,193.0,86.0,Villanova University,1928.0,Philadelphia,Pennsylvania,1.93,23.087868130688072
225,Ed Beach,190.0,90.0,West Virginia University,1929.0,,,1.9,24.930747922437675
226,Leon Blevins,188.0,72.0,University of Arizona,1926.0,,,1.88,20.37120869171571
227,Ike Borsavage,203.0,99.0,Temple University,1924.0,Plymouth,Pennsylvania,2.03,24.023878279016728
228,Art Burris,196.0,99.0,University of Tennessee,1924.0,,,1.96,25.770512286547273
229,Gerry Calabrese,185.0,79.0,St. John's University,1925.0,Hoboken,New Jersey,1.85,23.08254200146092
230,Cal Christensen,196.0,95.0,University of Toledo,1927.0,,,1.96,24.729279466888798
231,Nat Clifton*,198.0,99.0,Xavier University of Louisiana,1922.0,Little Rock,Arkansas,1.98,25.252525252525253
232,Chuck Cooper,196.0,95.0,Duquesne University,1926.0,,,1.96,24.729279466888798
233,Bob Cousy*,185.0,79.0,College of the Holy Cross,1928.0,New York,New York,1.85,23.08254200146092
234,Hank DeZonie,198.0,97.0,Clark Atlanta University,1922.0,,,1.98,24.742373227221712
235,Bob Donham,188.0,86.0,Ohio State University,1926.0,,,1.88,24.332277048438208
236,Ray Ellefson,203.0,104.0,West Texas A&M University,1922.0,Brookings,South Dakota,2.03,25.237205464825653
237,Larry Foust,206.0,97.0,La Salle University,1928.0,Painesville,Ohio,2.06,22.857950796493544
238,Ed Gayda,193.0,95.0,Washington State University,1927.0,,,1.93,25.50404037692287
239,Joe Hutton,185.0,77.0,Hamline University,1928.0,,,1.85,22.498173849525198
240,Bob Lavoy,201.0,83.0,Western Kentucky University,1926.0,,,2.01,20.54404593945695
241,Earl Lloyd*,196.0,90.0,West Virginia State University,1928.0,,,1.96,23.427738442315704
242,Don Lofgran,196.0,90.0,University of San Francisco,1928.0,Oakland,California,1.96,23.427738442315704
243,Norm Mager,196.0,83.0,City College of New York,1926.0,,,1.96,21.605581007913372
244,Joe McNamee,198.0,95.0,University of San Francisco,1926.0,,,1.98,24.232221201918172
245,Chuck Mrazovich,196.0,83.0,Eastern Kentucky University,1924.0,,,1.96,21.605581007913372
246,Ken Murray,188.0,86.0,St. Bonaventure University,1928.0,,,1.88,24.332277048438208
247,Tommy O'Keefe,188.0,83.0,Georgetown University,1928.0,Jersey City,New Jersey,1.88,23.48347668628339
248,Kevin O'Shea,188.0,79.0,University of Notre Dame,1925.0,San Francisco,California,1.88,22.351742870076958
249,Don Rehfeldt,201.0,95.0,University of Wisconsin,1927.0,Chicago,Illinois,2.01,23.514269448776027
250,Jim Riffey,193.0,90.0,Tulane University,1923.0,,,1.93,24.161722462347985
251,Alan Sawyer,196.0,88.0,"University of California, Los Angeles",1928.0,Long Beach,California,1.96,22.907122032486466
252,Herb Scherer,206.0,96.0,Long Island University,1928.0,,,2.06,22.622301819210104
253,Dick Schnittker,196.0,90.0,Ohio State University,1928.0,Kelleys Island,Ohio,1.96,23.427738442315704
254,Bill Sharman*,185.0,79.0,University of Southern California,1926.0,Abilene,Texas,1.85,23.08254200146092
255,Don Barksdale*,198.0,90.0,"University of California, Los Angeles",1923.0,Oakland,California,1.98,22.95684113865932
256,Elmer Behnke,201.0,95.0,Bradley University,1929.0,Rockford,Illinois,2.01,23.514269448776027
257,Stan Brown,190.0,90.0,,1929.0,,,1.9,24.930747922437675
258,Ed Dahler,196.0,86.0,Duquesne University,1926.0,,,1.96,22.38650562265723
259,Nate DeLong,198.0,99.0,University of Wisconsin-River Falls,1926.0,,,1.98,25.252525252525253
260,Dick Dickey,185.0,79.0,North Carolina State University,1926.0,Grant County,Indiana,1.85,23.08254200146092
261,Jake Fendley,183.0,81.0,Northwestern University,1929.0,,,1.83,24.187046492878256
262,Jerry Fowler,203.0,104.0,University of Missouri,1927.0,,,2.03,25.237205464825653
263,Lew Hitch,203.0,90.0,Kansas State University,1929.0,Griggsville,Illinois,2.03,21.83988934456066
264,Mel Hutchins,198.0,90.0,Brigham Young University,1928.0,Sacramento,California,1.98,22.95684113865932
265,Neil Johnston*,203.0,95.0,Ohio State University,1929.0,Chillicothe,Ohio,2.03,23.053216530369586
266,Jack Kiley,185.0,77.0,Syracuse University,1929.0,,,1.85,22.498173849525198
267,George King,183.0,79.0,University of Charleston,1928.0,Charleston,West Virginia,1.83,23.589835468362743
268,John McConathy,196.0,88.0,Northwestern State University,1930.0,Sailes,Louisiana,1.96,22.907122032486466
269,Alfred McGuire*,188.0,81.0,St. John's University,1928.0,New York,New York,1.88,22.917609778180175
270,Dave Minor,188.0,83.0,"University of California, Los Angeles",1922.0,Missouri,,1.88,23.48347668628339
271,Ralph O'Brien,175.0,72.0,Butler University,1928.0,Henshaw,Kentucky,1.75,23.510204081632654
272,Wally Osterkorn,196.0,97.0,University of Illinois at Urbana-Champaign,1928.0,,,1.96,25.249895876718035
273,Mel Payton,193.0,83.0,Tulane University,1926.0,,,1.93,22.28247738194314
274,John Pilch,190.0,83.0,University of Wyoming,1925.0,Sheridan,Wyoming,1.9,22.991689750692522
275,Ray Ragelis,193.0,92.0,Northwestern University,1928.0,,,1.93,24.69864962817794
276,Sam Ranzino,185.0,83.0,North Carolina State University,1927.0,Gary,Indiana,1.85,24.251278305332356
277,John Rennicke,188.0,83.0,Drake University,1929.0,,,1.88,23.48347668628339
278,Don Savage,190.0,92.0,LeMoyne College,1928.0,,,1.9,25.48476454293629
279,Chuck Share,211.0,106.0,Bowling Green State University,1927.0,,,2.11,23.80898901641922
